Date,Open,High,Low,Close,AdjustedClose,Volume
2025-05-20,207.6700,208.4700,205.0300,206.8600,206.4254,42496600
2025-05-21,205.1700,207.0400,200.7100,202.0900,201.6654,59211800
2025-05-22,200.7100,202.7500,199.7000,201.3600,200.9369,46742400
2025-05-23,193.6700,197.7000,193.4600,195.2700,194.8597,78432900
2025-05-24,195.2700,195.2700,195.2700,195.2700,194.8597,0
2025-05-25,195.2700,195.2700,195.2700,195.2700,194.8597,0
2025-05-26,195.2700,195.2700,195.2700,195.2700,194.8597,0
2025-05-27,198.3000,200.7400,197.4300,200.2100,199.7894,56288500
2025-05-28,200.5900,202.7300,199.9000,200.4200,199.9989,45339700
2025-05-29,203.5800,203.8100,198.5100,199.9500,199.5299,51396800
2025-05-30,199.3700,201.9600,196.7800,200.8500,200.4280,70819900
2025-05-31,200.8500,200.8500,200.8500,200.8500,200.4280,0
2025-06-01,200.8500,200.8500,200.8500,200.8500,200.4280,0
2025-06-02,200.2800,202.1300,200.1200,201.7000,201.2762,35423300
2025-06-03,201.3500,203.7700,200.9600,203.2700,202.8429,46381600
2025-06-04,202.9100,206.2400,202.1000,202.8200,202.3939,43604000
2025-06-05,203.5000,204.7500,200.1500,200.6300,200.2085,55126100
2025-06-06,203.0000,205.7000,202.0500,203.9200,203.4916,46607700
2025-06-07,203.9200,203.9200,203.9200,203.9200,203.4916,0
2025-06-08,203.9200,203.9200,203.9200,203.9200,203.4916,0
2025-06-09,204.3900,206.0000,200.0200,201.4500,201.0268,72862600
2025-06-10,200.6000,204.3500,200.5700,202.6700,202.2442,54672600
2025-06-11,203.5000,204.5000,198.4100,198.7800,198.3624,60989900
2025-06-12,199.0800,199.6800,197.3600,199.2000,198.7815,43904600
2025-06-13,199.7300,200.3700,195.7000,196.4500,196.0373,51447300
2025-06-14,196.4500,196.4500,196.4500,196.4500,196.0373,0
2025-06-15,196.4500,196.4500,196.4500,196.4500,196.0373,0
2025-06-16,197.3000,198.6900,196.5600,198.4200,198.0031,43020700
2025-06-17,197.2000,198.3900,195.2100,195.6400,195.2290,38856200
2025-06-18,195.9400,197.5700,195.0700,196.5800,196.1670,45394700
2025-06-19,196.5800,196.5800,196.5800,196.5800,196.1670,0
2025-06-20,198.2400,201.7000,196.8600,201.0000,200.5777,96813500
2025-06-21,201.0000,201.0000,201.0000,201.0000,200.5777,0
2025-06-22,201.0000,201.0000,201.0000,201.0000,200.5777,0
2025-06-23,201.6300,202.3000,198.9600,201.5000,201.0767,55814300
2025-06-24,202.5900,203.4400,200.2000,200.3000,199.8792,54064000
2025-06-25,201.4500,203.6700,200.6200,201.5600,201.1365,39525700
2025-06-26,201.4300,202.6400,199.4600,201.0000,200.5777,50799100
2025-06-27,201.8900,203.2200,200.0000,201.0800,200.6575,73188600
2025-06-28,201.0800,201.0800,201.0800,201.0800,200.6575,0
2025-06-29,201.0800,201.0800,201.0800,201.0800,200.6575,0
2025-06-30,202.0100,207.3900,199.2600,205.1700,204.7389,91912800
2025-07-01,206.6700,210.1900,206.1400,207.8200,207.3834,78788900
2025-07-02,208.9100,213.3400,208.1400,212.4400,211.9937,67941800
2025-07-03,212.1500,214.6500,211.8100,213.5500,213.1013,34955800
2025-07-04,213.5500,213.5500,213.5500,213.5500,213.1013,0
2025-07-05,213.5500,213.5500,213.5500,213.5500,213.1013,0
2025-07-06,213.5500,213.5500,213.5500,213.5500,213.1013,0
2025-07-07,212.6800,216.2300,208.8000,209.9500,209.5089,50229000
2025-07-08,210.1000,211.4300,208.4500,210.0100,209.5688,42848900
2025-07-09,209.5300,211.3300,207.2200,211.1400,210.6964,48749400
2025-07-10,210.5100,213.4800,210.0300,212.4100,211.9637,44443600
2025-07-11,210.5700,212.1300,209.8600,211.1600,210.7164,39765800
2025-07-12,211.1600,211.1600,211.1600,211.1600,210.7164,0
2025-07-13,211.1600,211.1600,211.1600,211.1600,210.7164,0
2025-07-14,209.9300,210.9100,207.5400,208.6200,208.1817,38840100
2025-07-15,209.2200,211.8900,208.9200,209.1100,208.6707,42296300
2025-07-16,210.3000,212.4000,208.6400,210.1600,209.7185,47490500
2025-07-17,210.5700,211.8000,209.5900,210.0200,209.5787,48068100
2025-07-18,210.8700,211.7900,209.7000,211.1800,210.7363,48974600
2025-07-19,211.1800,211.1800,211.1800,211.1800,210.7363,0
2025-07-20,211.1800,211.1800,211.1800,211.1800,210.7363,0
2025-07-21,212.1000,215.7800,211.6300,212.4800,212.0336,51377400
2025-07-22,213.1400,214.9500,212.2300,214.4000,213.9495,46404100
2025-07-23,215.0000,215.1500,212.4100,214.1500,213.7001,46989300
2025-07-24,213.9000,215.6900,213.5300,213.7600,213.3109,46022600
2025-07-25,214.7000,215.2400,213.4000,213.8800,213.4306,40268800
2025-07-26,213.8800,213.8800,213.8800,213.8800,213.4306,0
2025-07-27,213.8800,213.8800,213.8800,213.8800,213.4306,0
2025-07-28,214.0300,214.8500,213.0600,214.0500,213.6003,37858000
2025-07-29,214.1800,214.8100,210.8200,211.2700,210.8261,51411700
2025-07-30,211.9000,212.3900,207.7200,209.0500,208.6108,45512500
2025-07-31,208.4900,209.8400,207.1600,207.5700,207.1339,80698400
2025-08-01,210.8700,213.5800,201.5000,202.3800,201.9548,104434500
2025-08-02,202.3800,202.3800,202.3800,202.3800,201.9548,0
2025-08-03,202.3800,202.3800,202.3800,202.3800,201.9548,0
2025-08-04,204.5100,207.8800,201.6800,203.3500,202.9228,75109300
2025-08-05,203.4000,205.3400,202.1600,202.9200,202.4937,44155100
2025-08-06,205.6300,215.3800,205.5900,213.2500,212.8020,108483100
2025-08-07,218.8800,220.8500,216.5800,220.0300,219.5677,90224800
2025-08-08,220.8300,231.0000,219.2500,229.3500,228.8681,113854000
2025-08-09,229.3500,229.3500,229.3500,229.3500,228.8681,0
2025-08-10,229.3500,229.3500,229.3500,229.3500,228.8681,0
2025-08-11,227.9200,229.5600,224.7600,227.1800,226.9600,61806100
2025-08-12,228.0100,230.8000,227.0700,229.6500,229.4276,55626200
2025-08-13,231.0700,235.0000,230.4300,233.3300,233.1040,69878500
2025-08-14,234.0600,235.1200,230.8500,232.7800,232.5546,51916300
2025-08-15,234.0000,234.2800,229.3400,231.5900,231.3657,56038700
2025-08-16,231.5900,231.5900,231.5900,231.5900,231.3657,0
2025-08-17,231.5900,231.5900,231.5900,231.5900,231.3657,0
2025-08-18,231.7000,233.1200,230.1100,230.8900,230.6664,37476200
2025-08-19,231.2800,232.8700,229.3500,230.5600,230.3367,39402600
2025-08-20,229.9800,230.4700,225.7700,226.0100,225.7911,42263900
2025-08-21,226.2700,226.5200,223.7800,224.9000,224.6822,30621200
2025-08-22,226.1700,229.0900,225.4100,227.7600,227.5394,42477800
2025-08-23,227.7600,227.7600,227.7600,227.7600,227.5394,0
2025-08-24,227.7600,227.7600,227.7600,227.7600,227.5394,0
2025-08-25,226.4800,229.3000,226.2300,227.1600,226.9400,30983100
2025-08-26,226.8700,229.4900,224.6900,229.3100,229.0879,54575100
2025-08-27,228.6100,230.9000,228.2600,230.4900,230.2668,31259500
2025-08-28,230.8200,233.4100,229.3400,232.5600,232.3348,38074700
2025-08-29,232.5100,233.3800,231.3700,232.1400,231.9152,39418400
2025-08-30,232.1400,232.1400,232.1400,232.1400,231.9152,0
2025-08-31,232.1400,232.1400,232.1400,232.1400,231.9152,0
2025-09-01,232.1400,232.1400,232.1400,232.1400,231.9152,0
2025-09-02,229.2500,230.8500,226.9700,229.7200,229.4975,44075600
2025-09-03,237.2100,238.8500,234.3600,238.4700,238.2391,66427800
2025-09-04,238.4500,239.9000,236.7400,239.7800,239.5478,47549400
2025-09-05,240.0000,241.3200,238.4900,239.6900,239.4579,54870400
2025-09-06,239.6900,239.6900,239.6900,239.6900,239.4579,0
2025-09-07,239.6900,239.6900,239.6900,239.6900,239.4579,0
2025-09-08,239.3000,240.1500,236.3400,237.8800,237.6496,48999500
2025-09-09,237.0000,238.7800,233.3600,234.3500,234.1230,66313900
2025-09-10,232.1900,232.4200,225.9500,226.7900,226.5704,83440800
2025-09-11,226.8800,230.4500,226.6500,230.0300,229.8072,50208600
2025-09-12,229.2200,234.5100,229.0200,234.0700,233.8433,55824200
2025-09-13,234.0700,234.0700,234.0700,234.0700,233.8433,0
2025-09-14,234.0700,234.0700,234.0700,234.0700,233.8433,0
2025-09-15,237.0000,238.1900,235.0300,236.7000,236.4708,42699500
2025-09-16,237.1800,241.2200,236.3200,238.1500,237.9194,63421100
2025-09-17,238.9700,240.1000,237.7300,238.9900,238.7585,46508000
2025-09-18,239.9700,241.2000,236.6500,237.8800,237.6496,44249600
2025-09-19,241.2300,246.3000,240.2100,245.5000,245.2622,163741300
2025-09-20,245.5000,245.5000,245.5000,245.5000,245.2622,0
2025-09-21,245.5000,245.5000,245.5000,245.5000,245.2622,0
2025-09-22,248.3000,256.6400,248.1200,256.0800,255.8320,105517400
2025-09-23,255.8800,257.3400,253.5800,254.4300,254.1836,60275200
2025-09-24,255.2200,255.7400,251.0400,252.3100,252.0657,42303700
2025-09-25,253.2100,257.1700,251.7100,256.8700,256.6212,55202100
2025-09-26,254.1000,257.6000,253.7800,255.4600,255.2126,46076300
2025-09-27,255.4600,255.4600,255.4600,255.4600,255.2126,0
2025-09-28,255.4600,255.4600,255.4600,255.4600,255.2126,0
2025-09-29,254.5600,255.0000,253.0100,254.4300,254.1836,40127700
2025-09-30,254.8600,255.9200,253.1100,254.6300,254.3834,37704300
2025-10-01,255.0400,258.7900,254.9300,255.4500,255.2026,48713900
2025-10-02,256.5800,258.1800,254.1500,257.1300,256.8810,42630200
2025-10-03,254.6700,259.2400,253.9500,258.0200,257.7701,49155600
2025-10-04,258.0200,258.0200,258.0200,258.0200,257.7701,0
2025-10-05,258.0200,258.0200,258.0200,258.0200,257.7701,0
2025-10-06,257.9900,259.0700,255.0500,256.6900,256.4414,44664100
2025-10-07,256.8100,257.4000,255.4300,256.4800,256.2316,31955800
2025-10-08,256.5200,258.5200,256.1100,258.0600,257.8101,36496900
2025-10-09,257.8100,258.0000,253.1400,254.0400,253.7940,38322000
2025-10-10,254.9400,256.3800,244.0000,245.2700,245.0325,61999100
2025-10-11,245.2700,245.2700,245.2700,245.2700,245.0325,0
2025-10-12,245.2700,245.2700,245.2700,245.2700,245.0325,0
2025-10-13,249.3800,249.6900,245.5600,247.6600,247.4202,38142900
2025-10-14,246.6000,248.8500,244.7000,247.7700,247.5300,35478000
2025-10-15,249.4900,251.8200,247.4700,249.3400,249.0985,33893600
2025-10-16,248.2500,249.0400,245.1300,247.4500,247.2104,39777000
2025-10-17,248.0200,253.3800,247.2700,252.2900,252.0457,49147000
2025-10-18,252.2900,252.2900,252.2900,252.2900,252.0457,0
2025-10-19,252.2900,252.2900,252.2900,252.2900,252.0457,0
2025-10-20,255.8900,264.3800,255.6300,262.2400,261.9860,90483000
2025-10-21,261.8800,265.2900,261.8300,262.7700,262.5155,46695900
2025-10-22,262.6500,262.8500,255.4300,258.4500,258.1997,45015300
2025-10-23,259.9400,260.6200,258.0100,259.5800,259.3286,32754900
2025-10-24,261.1900,264.1300,259.1800,262.8200,262.5655,38253700
2025-10-25,262.8200,262.8200,262.8200,262.8200,262.5655,0
2025-10-26,262.8200,262.8200,262.8200,262.8200,262.5655,0
2025-10-27,264.8800,269.1200,264.6500,268.8100,268.5497,44888200
2025-10-28,268.9900,269.8900,268.1500,269.0000,268.7395,41534800
2025-10-29,269.2800,271.4100,267.1100,269.7000,269.4388,51086700
2025-10-30,271.9900,274.1400,268.4800,271.4000,271.1372,69886500
2025-10-31,276.9900,277.3200,269.1600,270.3700,270.1082,86167100
2025-11-01,270.3700,270.3700,270.3700,270.3700,270.1082,0
2025-11-02,270.3700,270.3700,270.3700,270.3700,270.1082,0
2025-11-03,270.4200,270.8500,266.2500,269.0500,268.7894,50194600
2025-11-04,268.3300,271.4900,267.6200,270.0400,269.7785,49274800
2025-11-05,268.6100,271.7000,266.9300,270.1400,269.8784,43683100
2025-11-06,267.8900,273.4000,267.8900,269.7700,269.5087,51204000
2025-11-07,269.8000,272.2900,266.7700,268.4700,268.2100,48227400
2025-11-08,268.4700,268.4700,268.4700,268.4700,268.2100,0
2025-11-09,268.4700,268.4700,268.4700,268.4700,268.2100,0
2025-11-10,268.9600,273.7300,267.4600,269.4300,269.4300,41312400
2025-11-11,269.8100,275.9100,269.8000,275.2500,275.2500,46208300
2025-11-12,275.0000,275.7300,271.7000,273.4700,273.4700,48398000
2025-11-13,274.1100,276.7000,272.0900,272.9500,272.9500,49602800
2025-11-14,271.0500,275.9600,269.6000,272.4100,272.4100,47431300
